ano;cd_ops;trimestre;receita;despesa;benef
2020;303739;2020Q2;4159282,38;2139901,85;4753,0
2020;303739;2020Q3;4206007,48;2925082,69;4243,0
2020;303739;2020Q4;3799577,12;2579634,41;4265,0
2020;311359;2020Q1;756522,36;489678,6;680,0
2020;311359;2020Q2;762066,1;531588,18;674,0
2020;311359;2020Q3;768764,98;448282,62;672,0
2020;311359;2020Q4;701522,64;432815,15;664,0
2020;315265;2020Q1;108135,43;108290,44;48,0
2020;315265;2020Q2;102357,81;38781,71;42,0
2020;315265;2020Q3;181440,38;46380,72;41,0
2020;315265;2020Q4;106931,6;52059,73;185,0
2020;320510;2020Q1;4147955,7;2800015,99;3292,0
2020;320510;2020Q2;4205298,95;2435793,12;3392,0
2020;320510;2020Q3;4228057,12;3090090,0;3412,0
2020;320510;2020Q4;3797614,59;4144189,87;3448,0
2020;326500;2020Q1;11794773,49;8758144,55;10204,0
2020;326500;2020Q2;11778389,72;6733779,15;9867,0
2020;326500;2020Q3;11836076,37;8786890,4;9500,0
2020;326500;2020Q4;11730910,45;10058538,74;9273,0
2020;327417;2020Q1;5021296,37;3945062,19;7742,0
2020;327417;2020Q2;5381459,75;2160364,86;7984,0
2020;327417;2020Q3;5439764,46;4427357,26;8687,0
2020;327417;2020Q4;5508526,05;5394291,74;9622,0
2020;328537;2020Q1;1047516,32;828726,61;1477,0
2020;328537;2020Q2;1036247,81;827005,71;1529,0
2020;328537;2020Q3;1044461,06;593206,31;1468,0
2020;328537;2020Q4;1079330,81;1118496,01;1438,0
2020;344362;2020Q1;3492103,75;2775756,55;4320,0
2020;344362;2020Q2;3479213,6;2476240,25;4289,0
2020;344362;2020Q3;3509002,02;2785909,5;4055,0
2020;344362;2020Q4;3503274,84;2908993,72;4027,0
2020;344800;2020Q1;4279152,71;2862898,52;6896,0
2020;344800;2020Q2;4186338,94;2637319,82;7163,0
2020;344800;2020Q3;1406357,55;1052701,74;7142,0
2020;344800;2020Q4;3102899,44;1477852,65;7256,0
2020;360244;2020Q1;4679451,01;2975028,63;4553,0
2020;360244;2020Q2;4548119,53;2400766,56;4316,0
2020;360244;2020Q3;4321432,23;2788995,95;4093,0
2020;360244;2020Q4;4019628,98;3157308,18;3930,0
2020;363766;2020Q1;13721920,75;7714698,21;14410,0
2020;363766;2020Q2;12883161,89;6725880,62;14538,0
2020;363766;2020Q3;13447368,24;5828080,07;14886,0
2020;363766;2020Q4;14325036,59;9312559,23;15099,0
2020;366561;2020Q1;3992387,7;3803539,63;4903,0
2020;366561;2020Q2;4203829,83;2887146,22;4952,0
2020;366561;2020Q3;4348107,38;3323969,45;5107,0
2020;366561;2020Q4;4204681,59;4661277,4;5313,0
2020;369373;2020Q1;43431,99;139964,69;477,0
2020;369373;2020Q2;43531,8;55614,57;477,0
2020;369373;2020Q3;42146,07;33106,75;498,0
2020;369373;2020Q4;39615,92;10248,1;500,0
2020;372609;2020Q1;6113187,86;4553359,15;9710,0
2020;372609;2020Q2;6136526,7;4107406,59;9568,0
2020;372609;2020Q3;6138587,79;3759993,96;9372,0
2020;372609;2020Q4;6447117,68;4452395,48;9239,0
2020;385255;2020Q1;26455,43;16178,02;2828,0
2020;385255;2020Q2;23768,03;15148,81;3162,0
2020;385255;2020Q3;28187,57;19540,05;3923,0
2020;385255;2020Q4;26845,92;6269873,88;4092,0
2020;392391;2020Q1;13961970,91;8767660,65;20677,0
2020;392391;2020Q2;14461056,34;9602202,28;21185,0
2020;392391;2020Q3;14606444,88;9903769,34;22068,0
2020;392391;2020Q4;16136576,33;11397128,78;22669,0
2020;394734;2020Q1;4089600,69;8064815,58;15383,0
2020;394734;2020Q2;3951232,74;8210822,86;15878,0
2020;394734;2020Q3;3855780,57;8218063,53;17306,0
2020;394734;2020Q4;3311087,42;8925397,13;17759,0
2020;401081;2020Q1;6621662,57;3962719,45;14550,0
2020;401081;2020Q2;7417457,41;2056297,61;14799,0
2020;401081;2020Q3;8116471,03;4121765,85;16164,0
2020;401081;2020Q4;8864617,29;5021842,81;18448,0
2020;411752;2020Q1;331958,7;2441467,54;897,0
2020;411752;2020Q2;443843,93;1552373,99;912,0
2020;411752;2020Q3;423353,06;257675,81;913,0
2020;411752;2020Q4;357281,6;222534,11;909,0
2020;412538;2020Q1;22733,44;322785,57;3,0
2020;412538;2020Q2;24585,72;255269,8;3,0
2020;412538;2020Q3;30878,95;322879,76;1,0
2020;412538;2020Q4;19886,52;364909,73;1,0
2020;414131;2020Q1;451775,49;187395,06;1235,0
2020;414131;2020Q2;473102,46;252878,73;1245,0
2020;414131;2020Q3;456288,24;320451,83;1192,0
2020;414131;2020Q4;436272,91;335952,62;1169,0
2020;414352;2020Q1;18421595,49;11817461,11;10954,0
2020;414352;2020Q2;17218065,23;11481447,0;11839,0
2020;414352;2020Q3;17265022,78;11177501,28;12309,0
2020;414352;2020Q4;17735815,66;12354180,07;12881,0
2020;414492;2020Q1;30574333,25;20825872,2;20675,0
2020;414492;2020Q2;31672125,22;18448964,73;20853,0
2020;414492;2020Q3;31181346,349999998;28445832,319999997;20877,0
2020;414492;2020Q4;29986634,78;25186958,85;20834,0
2020;414581;2020Q1;3526993,35;3488859,11;6118,0
2020;414581;2020Q2;3891417,01;2243312,44;6396,0
2020;414581;2020Q3;4144047,7;2961743,5;6414,0
2020;414581;2020Q4;4317711,92;3224482,44;6636,0
2020;414930;2020Q1;5780086,31;4886001,36;4810,0
2020;414930;2020Q2;5037636,89;4025106,01;4744,0
2020;414930;2020Q3;4812658,51;4361771,13;4641,0
2020;414930;2020Q4;5790684,08;6331443,95;4597,0
2020;415111;2020Q1;1236212,67;1309331,2;1531,0
2020;415111;2020Q2;1251910,22;966091,09;1751,0
2020;415111;2020Q3;1250722,27;1275806,37;1744,0
2020;415111;2020Q4;1217730,23;1535068,53;1765,0
2020;415693;2020Q1;5837112,74;4645327,72;4631,0
2020;415693;2020Q2;5965923,44;3280959,38;4508,0
2020;415693;2020Q3;5899617,57;4600999,38;2623,0
2020;415693;2020Q4;3666746,49;2705335,01;2571,0
2020;415774;2020Q1;5872635,57;5510348,39;8017,0
2020;415774;2020Q2;6610153,2;5416028,05;8577,0
2020;415774;2020Q3;7498522,32;6090032,6;9191,0
2020;415774;2020Q4;7614129,97;7673010,65;8923,0
2020;416495;2020Q1;102851,47;86461,91;241,0
2020;416495;2020Q2;132467,76;153088,65;246,0
2020;416495;2020Q3;135706,16;60652,65;251,0
2020;416495;2020Q4;136612,45;89541,71;647,0
2020;416738;2020Q1;1855501,89;1129888,22;4038,0
2020;416738;2020Q2;2021361,79;923491,53;4252,0
2020;416738;2020Q3;2640512,87;1423744,51;4634,0
